Source File;Source Line;CPU Time;CPU Time:Effective Time;CPU Time:Spin Time;CPU Time:Overhead Time
strings_def.h;209;42.502663;42.502663;0.0;0.0
ctype-uca.c;31285;16.291062;16.291062;0.0;0.0
[Unknown source file];[Unknown];15.821050;15.821050;0.0;0.0
syscall_cancel.S;56;10.491748;10.491748;0.0;0.0
ctype-utf8.c;3008;7.309924;7.309924;0.0;0.0
m_ctype.h;1980;6.117978;6.117978;0.0;0.0
strings_def.h;100;4.235042;4.235042;0.0;0.0
m_ctype.h;1978;2.774892;2.774892;0.0;0.0
ctype-uca.c;34319;2.508000;2.508000;0.0;0.0
ctype-uca-scanner_next.inl;50;2.047978;2.047978;0.0;0.0
ctype-utf8.c;3030;1.936009;1.936009;0.0;0.0
ctype-uca.inl;663;1.651991;1.651991;0.0;0.0
ctype-uca.c;31295;1.311966;1.311966;0.0;0.0
filesort.cc;2839;1.091986;1.091986;0.0;0.0
ctype-uca.c;34385;1.081991;1.081991;0.0;0.0
ctype-uca.inl;239;1.075993;1.075993;0.0;0.0
ctype-uca.inl;651;0.957975;0.957975;0.0;0.0
field.h;2277;0.948995;0.948995;0.0;0.0
field.cc;7805;0.927989;0.927989;0.0;0.0
ctype-uca-scanner_next.inl;84;0.927000;0.927000;0.0;0.0
page0cur.cc;580;0.915008;0.915008;0.0;0.0
ctype-mb.c;255;0.912991;0.912991;0.0;0.0
ctype-mb.c;255;0.900985;0.900985;0.0;0.0
rem0rec.inl;240;0.894993;0.894993;0.0;0.0
ctype-uca.c;34356;0.892990;0.892990;0.0;0.0
memmove-vec-unaligned-erms.S;395;0.876995;0.876995;0.0;0.0
memmove-vec-unaligned-erms.S;255;0.857999;0.857999;0.0;0.0
ctype-uca.c;34379;0.811004;0.811004;0.0;0.0
memmove-vec-unaligned-erms.S;377;0.759991;0.759991;0.0;0.0
ctype-uca.c;32016;0.751995;0.751995;0.0;0.0
ctype-utf8.c;83;0.740009;0.740009;0.0;0.0
sql_select.cc;26411;0.739993;0.739993;0.0;0.0
ctype-uca.c;34353;0.732002;0.732002;0.0;0.0
strings_def.h;99;0.723995;0.723995;0.0;0.0
memmove-vec-unaligned-erms.S;378;0.702991;0.702991;0.0;0.0
memmove-vec-unaligned-erms.S;392;0.680000;0.680000;0.0;0.0
ctype-uca-scanner_next.inl;84;0.651997;0.651997;0.0;0.0
ha_innodb.cc;9463;0.600990;0.600990;0.0;0.0
memmove-vec-unaligned-erms.S;376;0.598995;0.598995;0.0;0.0
ctype-utf8.c;3011;0.598002;0.598002;0.0;0.0
handler.h;4427;0.588003;0.588003;0.0;0.0
mf_qsort.c;131;0.585992;0.585992;0.0;0.0
ctype-uca-scanner_next.inl;218;0.584000;0.584000;0.0;0.0
net_serv.cc;618;0.558989;0.558989;0.0;0.0
sql_array.h;87;0.550987;0.550987;0.0;0.0
ctype-uca.c;31285;0.549990;0.549990;0.0;0.0
m_ctype.h;1176;0.537002;0.537002;0.0;0.0
ctype-uca.c;32017;0.529998;0.529998;0.0;0.0
page0cur.cc;604;0.518000;0.518000;0.0;0.0
hp_hash.c;293;0.500995;0.500995;0.0;0.0
ctype-uca.c;33945;0.498991;0.498991;0.0;0.0
item_cmpfunc.cc;2398;0.491007;0.491007;0.0;0.0
sql_class.h;4278;0.489997;0.489997;0.0;0.0
hp_hash.c;316;0.471002;0.471002;0.0;0.0
item_cmpfunc.h;1122;0.460010;0.460010;0.0;0.0
stl_algobase.h;239;0.460000;0.460000;0.0;0.0
opt_range.cc;13751;0.452005;0.452005;0.0;0.0
filesort.cc;877;0.450000;0.450000;0.0;0.0
memmove-vec-unaligned-erms.S;471;0.441003;0.441003;0.0;0.0
mf_qsort.c;170;0.440005;0.440005;0.0;0.0
hasher-mysql5x.c;23;0.432004;0.432004;0.0;0.0
hp_write.c;148;0.422989;0.422989;0.0;0.0
hp_write.c;45;0.410991;0.410991;0.0;0.0
mf_qsort.c;163;0.410977;0.410977;0.0;0.0
memmove-vec-unaligned-erms.S;492;0.407999;0.407999;0.0;0.0
sql_type.cc;5994;0.399997;0.399997;0.0;0.0
memmove-vec-unaligned-erms.S;489;0.399995;0.399995;0.0;0.0
hp_write.c;52;0.392999;0.392999;0.0;0.0
ctype-uca.inl;661;0.388995;0.388995;0.0;0.0
filesort.cc;2780;0.382001;0.382001;0.0;0.0
hp_write.c;350;0.380999;0.380999;0.0;0.0
ctype-uca.c;33945;0.361005;0.361005;0.0;0.0
hp_write.c;387;0.360007;0.360007;0.0;0.0
memmove-vec-unaligned-erms.S;379;0.360005;0.360005;0.0;0.0
opt_range.cc;13757;0.359992;0.359992;0.0;0.0
srw_lock.h;332;0.358995;0.358995;0.0;0.0
ctype-uca.inl;694;0.350993;0.350993;0.0;0.0
ctype-uca.c;33935;0.349970;0.349970;0.0;0.0
filesort.cc;2853;0.331005;0.331005;0.0;0.0
ctype-uca.inl;285;0.330999;0.330999;0.0;0.0
ctype-uca-scanner_next.inl;61;0.328993;0.328993;0.0;0.0
my_byteorder.h;92;0.320004;0.320004;0.0;0.0
hp_write.c;396;0.319997;0.319997;0.0;0.0
string_fortified.h;29;0.311007;0.311007;0.0;0.0
hp_write.c;324;0.310998;0.310998;0.0;0.0
atomic_base.h;641;0.309002;0.309002;0.0;0.0
ctype-uca.c;31286;0.309001;0.309001;0.0;0.0
hp_write.c;364;0.300990;0.300990;0.0;0.0
memmove-vec-unaligned-erms.S;491;0.299985;0.299985;0.0;0.0
sql_select.cc;26162;0.299985;0.299985;0.0;0.0
memmove-vec-unaligned-erms.S;468;0.291998;0.291998;0.0;0.0
strings_def.h;206;0.290997;0.290997;0.0;0.0
multi_range_read.cc;546;0.290001;0.290001;0.0;0.0
row0sel.cc;974;0.289995;0.289995;0.0;0.0
ha_heap.cc;410;0.289995;0.289995;0.0;0.0
my_byteorder.h;56;0.288995;0.288995;0.0;0.0
memmove-vec-unaligned-erms.S;464;0.272000;0.272000;0.0;0.0
filesort.cc;2733;0.271001;0.271001;0.0;0.0
string_fortified.h;59;0.267999;0.267999;0.0;0.0
sql_class.h;4416;0.260030;0.260030;0.0;0.0
ctype-uca.c;33945;0.258995;0.258995;0.0;0.0
sql_select.cc;24838;0.251990;0.251990;0.0;0.0
filesort.cc;1410;0.250999;0.250999;0.0;0.0
mf_qsort.c;128;0.241003;0.241003;0.0;0.0
sql_class.h;4278;0.239010;0.239010;0.0;0.0
filesort.cc;2770;0.230996;0.230996;0.0;0.0
ctype-mb.c;262;0.230996;0.230996;0.0;0.0
cancellation.c;38;0.230994;0.230994;0.0;0.0
ctype-uca.c;34355;0.230003;0.230003;0.0;0.0
memmove-vec-unaligned-erms.S;485;0.221001;0.221001;0.0;0.0
field.cc;7817;0.221001;0.221001;0.0;0.0
row0sel.cc;2956;0.220999;0.220999;0.0;0.0
read0types.h;132;0.219998;0.219998;0.0;0.0
sql_select.cc;26117;0.219998;0.219998;0.0;0.0
rem0rec.h;605;0.219996;0.219996;0.0;0.0
hp_write.c;259;0.219003;0.219003;0.0;0.0
ha_innodb.cc;20826;0.218999;0.218999;0.0;0.0
ha_heap.cc;308;0.218992;0.218992;0.0;0.0
ctype-uca.c;33935;0.218001;0.218001;0.0;0.0
hp_hash.c;297;0.211994;0.211994;0.0;0.0
ctype-simple.c;1276;0.210012;0.210012;0.0;0.0
memmove-vec-unaligned-erms.S;266;0.209995;0.209995;0.0;0.0
memcmp-avx2-movbe.S;416;0.209985;0.209985;0.0;0.0
hp_write.c;363;0.207990;0.207990;0.0;0.0
hp_write.c;56;0.201998;0.201998;0.0;0.0
sql_select.cc;26456;0.201006;0.201006;0.0;0.0
ctype-uca.c;34430;0.200989;0.200989;0.0;0.0
memmove-vec-unaligned-erms.S;387;0.199998;0.199998;0.0;0.0
ctype-uca.inl;237;0.199997;0.199997;0.0;0.0
ctype-mb.c;252;0.191027;0.191027;0.0;0.0
mf_qsort.c;163;0.190003;0.190003;0.0;0.0
row0sel.cc;3079;0.190000;0.190000;0.0;0.0
filesort.cc;2845;0.186999;0.186999;0.0;0.0
sql_select.cc;25001;0.180999;0.180999;0.0;0.0
field.cc;7804;0.179993;0.179993;0.0;0.0
protocol.cc;46;0.178995;0.178995;0.0;0.0
memmove-vec-unaligned-erms.S;484;0.171992;0.171992;0.0;0.0
rem0rec.inl;659;0.171006;0.171006;0.0;0.0
hp_write.c;49;0.171002;0.171002;0.0;0.0
hp_write.c;332;0.170997;0.170997;0.0;0.0
memmove-vec-unaligned-erms.S;490;0.170000;0.170000;0.0;0.0
sql_class.h;8161;0.168996;0.168996;0.0;0.0
multi_range_read.cc;625;0.160998;0.160998;0.0;0.0
sql_class.h;4278;0.160997;0.160997;0.0;0.0
memmove-vec-unaligned-erms.S;486;0.160005;0.160005;0.0;0.0
page0page.h;663;0.160001;0.160001;0.0;0.0
memcmp-avx2-movbe.S;417;0.160000;0.160000;0.0;0.0
row0sel.cc;3251;0.159999;0.159999;0.0;0.0
ctype-uca.c;32036;0.158002;0.158002;0.0;0.0
handler.h;4430;0.151002;0.151002;0.0;0.0
field.h;1518;0.150005;0.150005;0.0;0.0
memmove-vec-unaligned-erms.S;497;0.150001;0.150001;0.0;0.0
field.cc;1140;0.150000;0.150000;0.0;0.0
hp_scan.c;74;0.149999;0.149999;0.0;0.0
memmove-vec-unaligned-erms.S;487;0.149997;0.149997;0.0;0.0
hp_rrnd.c;29;0.149001;0.149001;0.0;0.0
malloc.c;3790;0.148998;0.148998;0.0;0.0
rem0rec.cc;408;0.148995;0.148995;0.0;0.0
row0sel.cc;5088;0.141002;0.141002;0.0;0.0
hp_write.c;301;0.141001;0.141001;0.0;0.0
protocol.cc;37;0.140997;0.140997;0.0;0.0
ctype-uca.c;34319;0.140994;0.140994;0.0;0.0
memset-vec-unaligned-erms.S;199;0.140004;0.140004;0.0;0.0
rem0rec.inl;251;0.139999;0.139999;0.0;0.0
ctype-uca.c;34385;0.139998;0.139998;0.0;0.0
ctype-simple.c;1279;0.139997;0.139997;0.0;0.0
row0sel.cc;981;0.139996;0.139996;0.0;0.0
hp_write.c;49;0.139992;0.139992;0.0;0.0
filesort.cc;2765;0.138004;0.138004;0.0;0.0
field.cc;1123;0.131003;0.131003;0.0;0.0
sql_class.h;4233;0.131001;0.131001;0.0;0.0
ha_innodb.cc;9517;0.130002;0.130002;0.0;0.0
ctype-uca.c;34356;0.130001;0.130001;0.0;0.0
filesort.cc;2871;0.129999;0.129999;0.0;0.0
sql_class.h;3514;0.129998;0.129998;0.0;0.0
strings_def.h;103;0.129996;0.129996;0.0;0.0
buf0buf.h;1778;0.121001;0.121001;0.0;0.0
hp_write.c;61;0.120997;0.120997;0.0;0.0
filesort.cc;2843;0.120996;0.120996;0.0;0.0
row0sel.cc;4430;0.120005;0.120005;0.0;0.0
sql_string.h;138;0.120002;0.120002;0.0;0.0
ctype-uca.c;34349;0.120002;0.120002;0.0;0.0
rem0rec.h;131;0.120000;0.120000;0.0;0.0
mf_qsort.c;135;0.120000;0.120000;0.0;0.0
row0sel.cc;5493;0.119999;0.119999;0.0;0.0
ctype-uca.c;34356;0.119997;0.119997;0.0;0.0
ut0byte.h;74;0.119996;0.119996;0.0;0.0
hp_write.c;321;0.119994;0.119994;0.0;0.0
sql_list.h;438;0.119001;0.119001;0.0;0.0
row0sel.cc;5164;0.118999;0.118999;0.0;0.0
dict0mem.h;2832;0.110999;0.110999;0.0;0.0
ha_heap.cc;419;0.110998;0.110998;0.0;0.0
sql_select.cc;29926;0.110996;0.110996;0.0;0.0
ctype-uca.c;32010;0.110010;0.110010;0.0;0.0
mysql_statement.h;214;0.110003;0.110003;0.0;0.0
memcmp-avx2-movbe.S;167;0.110002;0.110002;0.0;0.0
string_fortified.h;29;0.110001;0.110001;0.0;0.0
sql_string.h;263;0.109999;0.109999;0.0;0.0
memmove-vec-unaligned-erms.S;499;0.109999;0.109999;0.0;0.0
malloc.c;3293;0.109995;0.109995;0.0;0.0
sql_select.cc;24827;0.109986;0.109986;0.0;0.0
buf0buf.h;1774;0.108999;0.108999;0.0;0.0
my_alloc.c;356;0.108998;0.108998;0.0;0.0
hp_write.c;296;0.108995;0.108995;0.0;0.0
filesort.cc;2896;0.108993;0.108993;0.0;0.0
strings_def.h;98;0.107004;0.107004;0.0;0.0
handler.cc;4086;0.101002;0.101002;0.0;0.0
handler.cc;7529;0.101001;0.101001;0.0;0.0
hp_block.c;30;0.100999;0.100999;0.0;0.0
ctype-uca.c;32015;0.100996;0.100996;0.0;0.0
hp_write.c;216;0.100992;0.100992;0.0;0.0
sql_class.h;4239;0.100013;0.100013;0.0;0.0
item.cc;8129;0.100008;0.100008;0.0;0.0
memmove-vec-unaligned-erms.S;256;0.100003;0.100003;0.0;0.0
sql_select.h;848;0.100003;0.100003;0.0;0.0
protocol.h;153;0.100001;0.100001;0.0;0.0
atomic_base.h;631;0.099999;0.099999;0.0;0.0
ha_heap.cc;289;0.099999;0.099999;0.0;0.0
sql_select.cc;24934;0.099998;0.099998;0.0;0.0
field.cc;7555;0.099998;0.099998;0.0;0.0
row0sel.cc;3145;0.099996;0.099996;0.0;0.0
sql_plist.h;132;0.099001;0.099001;0.0;0.0
