Source File;Source Line;CPU Time;CPU Time:Effective Time;CPU Time:Spin Time;CPU Time:Overhead Time
[Unknown source file];[Unknown];44.342289;44.342289;0.0;0.0
syscall_cancel.S;56;14.899830;14.899830;0.0;0.0
page0cur.cc;103;3.639857;3.639857;0.0;0.0
page0cur.cc;85;1.519935;1.519935;0.0;0.0
my_byteorder.h;92;1.099930;1.099930;0.0;0.0
sql_class.h;3514;0.779947;0.779947;0.0;0.0
stl_algobase.h;239;0.759940;0.759940;0.0;0.0
cancellation.c;38;0.699946;0.699946;0.0;0.0
pthread_mutex_lock.c;160;0.659968;0.659968;0.0;0.0
page0cur.cc;231;0.569969;0.569969;0.0;0.0
btr0cur.cc;1269;0.509965;0.509965;0.0;0.0
my_alloc.c;271;0.479954;0.479954;0.0;0.0
sql_select.cc;13462;0.449973;0.449973;0.0;0.0
memmove-vec-unaligned-erms.S;392;0.430007;0.430007;0.0;0.0
srw_lock.h;332;0.429970;0.429970;0.0;0.0
strlen-avx2.S;85;0.390004;0.390004;0.0;0.0
memcmp-avx2-movbe.S;416;0.379991;0.379991;0.0;0.0
atomic_base.h;641;0.379968;0.379968;0.0;0.0
sql_list.h;154;0.349998;0.349998;0.0;0.0
protocol.cc;1199;0.339999;0.339999;0.0;0.0
item.cc;3768;0.329978;0.329978;0.0;0.0
memmove-vec-unaligned-erms.S;378;0.319990;0.319990;0.0;0.0
ha_innodb.cc;16611;0.309984;0.309984;0.0;0.0
my_alloc.c;361;0.309982;0.309982;0.0;0.0
strcoll.inl;229;0.299985;0.299985;0.0;0.0
my_alloc.c;360;0.299980;0.299980;0.0;0.0
mysql_stage.h;112;0.289990;0.289990;0.0;0.0
ha_innodb.cc;2708;0.289989;0.289989;0.0;0.0
string_fortified.h;59;0.279991;0.279991;0.0;0.0
sql_profile.h;322;0.279982;0.279982;0.0;0.0
memcmp-avx2-movbe.S;417;0.269978;0.269978;0.0;0.0
memmove-vec-unaligned-erms.S;377;0.259988;0.259988;0.0;0.0
item.cc;6612;0.259981;0.259981;0.0;0.0
lf_dynarray.c;96;0.249988;0.249988;0.0;0.0
pthread_mutex_lock.c;71;0.249988;0.249988;0.0;0.0
page0page.h;667;0.249983;0.249983;0.0;0.0
lf_hash.cc;130;0.239992;0.239992;0.0;0.0
crc32c_amd64.cc;149;0.239987;0.239987;0.0;0.0
my_alloc.c;356;0.239985;0.239985;0.0;0.0
item_cmpfunc.cc;7594;0.239985;0.239985;0.0;0.0
mdl.cc;1113;0.239965;0.239965;0.0;0.0
viosocket.c;255;0.229988;0.229988;0.0;0.0
memcmp-avx2-movbe.S;167;0.229985;0.229985;0.0;0.0
lf_hash.cc;456;0.229983;0.229983;0.0;0.0
rem0cmp.cc;329;0.219996;0.219996;0.0;0.0
pthread_mutex_unlock.c;359;0.219992;0.219992;0.0;0.0
my_bit.h;161;0.219988;0.219988;0.0;0.0
lf_hash.cc;111;0.219985;0.219985;0.0;0.0
sql_class.cc;3428;0.209993;0.209993;0.0;0.0
page0page.h;622;0.209990;0.209990;0.0;0.0
item_cmpfunc.cc;7604;0.209988;0.209988;0.0;0.0
lf_alloc-pin.c;299;0.209987;0.209987;0.0;0.0
cset_narrowing.h;83;0.209986;0.209986;0.0;0.0
sql_select.cc;1943;0.209975;0.209975;0.0;0.0
buf0buf.h;1778;0.200007;0.200007;0.0;0.0
rem0rec.cc;827;0.199990;0.199990;0.0;0.0
ha_innodb.cc;2653;0.199989;0.199989;0.0;0.0
sql_class.h;5295;0.199985;0.199985;0.0;0.0
page0cur.cc;585;0.199984;0.199984;0.0;0.0
dict0dict.cc;443;0.199983;0.199983;0.0;0.0
field.h;2887;0.190003;0.190003;0.0;0.0
ha_innodb.cc;7337;0.189993;0.189993;0.0;0.0
my_byteorder.h;56;0.189988;0.189988;0.0;0.0
item_cmpfunc.h;3618;0.179990;0.179990;0.0;0.0
sql_parse.cc;6136;0.179990;0.179990;0.0;0.0
item_func.cc;143;0.179990;0.179990;0.0;0.0
lf_hash.cc;111;0.179990;0.179990;0.0;0.0
item.h;4522;0.179989;0.179989;0.0;0.0
field.cc;7812;0.179988;0.179988;0.0;0.0
sql_explain.h;214;0.179987;0.179987;0.0;0.0
sql_error.h;1063;0.179981;0.179981;0.0;0.0
item_func.cc;418;0.179977;0.179977;0.0;0.0
strings_def.h;100;0.169991;0.169991;0.0;0.0
lf_hash.cc;128;0.169991;0.169991;0.0;0.0
page0cur.cc;340;0.169990;0.169990;0.0;0.0
sql_parse.cc;2381;0.169989;0.169989;0.0;0.0
lf_hash.cc;108;0.169988;0.169988;0.0;0.0
opt_subselect.cc;4079;0.169980;0.169980;0.0;0.0
memmove-vec-unaligned-erms.S;376;0.160002;0.160002;0.0;0.0
malloc.c;3007;0.159995;0.159995;0.0;0.0
