Source File;Source Line;CPU Time;CPU Time:Effective Time;CPU Time:Spin Time;CPU Time:Overhead Time
[Unknown source file];[Unknown];14.087357;14.087357;0.0;0.0
syscall_cancel.S;56;6.878668;6.878668;0.0;0.0
strings_def.h;209;6.637956;6.637956;0.0;0.0
ctype-uca.c;31285;2.505994;2.505994;0.0;0.0
ctype-utf8.c;3008;1.491988;1.491988;0.0;0.0
strings_def.h;100;1.130981;1.130981;0.0;0.0
strings_def.h;99;1.030777;1.030777;0.0;0.0
page0cur.cc;103;1.027971;1.027971;0.0;0.0
srw_lock.h;332;1.010991;1.010991;0.0;0.0
m_ctype.h;1980;0.950943;0.950943;0.0;0.0
ctype-uca.c;34319;0.891979;0.891979;0.0;0.0
page0cur.cc;580;0.778008;0.778008;0.0;0.0
page0cur.cc;85;0.734001;0.734001;0.0;0.0
atomic_base.h;641;0.530011;0.530011;0.0;0.0
m_ctype.h;1978;0.499973;0.499973;0.0;0.0
ctype-utf8.c;3030;0.462989;0.462989;0.0;0.0
rem0cmp.cc;329;0.459995;0.459995;0.0;0.0
memmove-vec-unaligned-erms.S;378;0.457984;0.457984;0.0;0.0
rem0rec.inl;240;0.449994;0.449994;0.0;0.0
memcmp-avx2-movbe.S;167;0.449994;0.449994;0.0;0.0
memmove-vec-unaligned-erms.S;377;0.441982;0.441982;0.0;0.0
rem0cmp.cc;323;0.425997;0.425997;0.0;0.0
ctype-uca.inl;239;0.409997;0.409997;0.0;0.0
memmove-vec-unaligned-erms.S;395;0.399992;0.399992;0.0;0.0
my_byteorder.h;92;0.390005;0.390005;0.0;0.0
ctype-uca-scanner_next.inl;50;0.390002;0.390002;0.0;0.0
stl_algobase.h;239;0.368996;0.368996;0.0;0.0
small_vector.h;120;0.339999;0.339999;0.0;0.0
field.h;2277;0.338992;0.338992;0.0;0.0
handler.h;4427;0.329997;0.329997;0.0;0.0
memcmp-avx2-movbe.S;416;0.328991;0.328991;0.0;0.0
filesort.cc;2839;0.321000;0.321000;0.0;0.0
ctype-uca.c;34356;0.310000;0.310000;0.0;0.0
memmove-vec-unaligned-erms.S;392;0.309997;0.309997;0.0;0.0
my_byteorder.h;56;0.300997;0.300997;0.0;0.0
item_cmpfunc.cc;2398;0.291991;0.291991;0.0;0.0
row0sel.cc;2956;0.290009;0.290009;0.0;0.0
ctype-uca.c;34353;0.281000;0.281000;0.0;0.0
buf0buf.h;1774;0.280986;0.280986;0.0;0.0
string_fortified.h;29;0.269982;0.269982;0.0;0.0
page0cur.cc;340;0.258003;0.258003;0.0;0.0
ctype-uca.inl;663;0.252004;0.252004;0.0;0.0
ctype-uca.c;34385;0.249993;0.249993;0.0;0.0
memmove-vec-unaligned-erms.S;376;0.241001;0.241001;0.0;0.0
ha_innodb.cc;9463;0.240993;0.240993;0.0;0.0
sql_array.h;87;0.240000;0.240000;0.0;0.0
buf0buf.cc;2829;0.239989;0.239989;0.0;0.0
m_ctype.h;1176;0.231002;0.231002;0.0;0.0
ctype-uca.c;31295;0.221997;0.221997;0.0;0.0
ctype-mb.c;255;0.221003;0.221003;0.0;0.0
ctype-uca-scanner_next.inl;84;0.210992;0.210992;0.0;0.0
read0types.h;132;0.208001;0.208001;0.0;0.0
page0cur.cc;604;0.199999;0.199999;0.0;0.0
page0page.h;667;0.199996;0.199996;0.0;0.0
memcmp-avx2-movbe.S;417;0.190999;0.190999;0.0;0.0
pthread_mutex_lock.c;160;0.189995;0.189995;0.0;0.0
rem0cmp.cc;207;0.189000;0.189000;0.0;0.0
row0sel.cc;974;0.181003;0.181003;0.0;0.0
page0cur.cc;231;0.180994;0.180994;0.0;0.0
item_cmpfunc.h;1122;0.180982;0.180982;0.0;0.0
mf_qsort.c;170;0.180001;0.180001;0.0;0.0
ctype-mb.c;255;0.180000;0.180000;0.0;0.0
btr0cur.cc;1269;0.179999;0.179999;0.0;0.0
sql_class.h;3514;0.179995;0.179995;0.0;0.0
rem0rec.h;605;0.179993;0.179993;0.0;0.0
filesort.cc;877;0.170997;0.170997;0.0;0.0
rem0cmp.cc;322;0.170009;0.170009;0.0;0.0
sql_select.cc;24838;0.170006;0.170006;0.0;0.0
ctype-uca.c;34355;0.169996;0.169996;0.0;0.0
cancellation.c;38;0.169992;0.169992;0.0;0.0
sql_type.cc;5994;0.169989;0.169989;0.0;0.0
row0sel.cc;981;0.169001;0.169001;0.0;0.0
field.cc;7805;0.168995;0.168995;0.0;0.0
stl_algobase.h;239;0.159999;0.159999;0.0;0.0
mysql_stage.h;112;0.159997;0.159997;0.0;0.0
memmove-vec-unaligned-erms.S;255;0.159000;0.159000;0.0;0.0
mf_qsort.c;131;0.158995;0.158995;0.0;0.0
ctype-uca.c;34379;0.158995;0.158995;0.0;0.0
filesort.cc;2853;0.151994;0.151994;0.0;0.0
row0sel.cc;3079;0.151000;0.151000;0.0;0.0
ctype-uca.c;32016;0.150003;0.150003;0.0;0.0
memmove-vec-unaligned-erms.S;471;0.149997;0.149997;0.0;0.0
sql_select.cc;26411;0.149993;0.149993;0.0;0.0
ctype-simple.c;1279;0.149967;0.149967;0.0;0.0
dict0mem.h;2832;0.149001;0.149001;0.0;0.0
ctype-uca-scanner_next.inl;218;0.142997;0.142997;0.0;0.0
mtr0mtr.cc;587;0.140999;0.140999;0.0;0.0
memmove-vec-unaligned-erms.S;489;0.140996;0.140996;0.0;0.0
memmove-vec-unaligned-erms.S;334;0.140995;0.140995;0.0;0.0
sql_select.cc;26162;0.140992;0.140992;0.0;0.0
ctype-uca.c;34430;0.140985;0.140985;0.0;0.0
buf0buf.cc;2700;0.139998;0.139998;0.0;0.0
filesort.cc;2733;0.139995;0.139995;0.0;0.0
mf_qsort.c;163;0.139992;0.139992;0.0;0.0
ctype-utf8.c;83;0.139988;0.139988;0.0;0.0
rem0rec.cc;408;0.139005;0.139005;0.0;0.0
sql_select.cc;26149;0.139004;0.139004;0.0;0.0
page0page.h;622;0.138999;0.138999;0.0;0.0
rem0rec.inl;251;0.138996;0.138996;0.0;0.0
