Source File;Source Line;CPU Time;CPU Time:Effective Time;CPU Time:Spin Time;CPU Time:Overhead Time
[Unknown source file];[Unknown];42.130376;42.130376;0.0;0.0
syscall_cancel.S;56;23.398954;23.398954;0.0;0.0
page0cur.cc;103;6.880968;6.880968;0.0;0.0
syscall.S;38;5.775367;5.775367;0.0;0.0
page0cur.cc;85;2.900997;2.900997;0.0;0.0
my_byteorder.h;56;1.400984;1.400984;0.0;0.0
my_byteorder.h;92;1.252009;1.252009;0.0;0.0
srw_lock.h;332;1.238992;1.238992;0.0;0.0
atomic_base.h;641;0.927998;0.927998;0.0;0.0
page0cur.cc;231;0.869000;0.869000;0.0;0.0
memcmp-avx2-movbe.S;416;0.807004;0.807004;0.0;0.0
smmintrin.h;843;0.788984;0.788984;0.0;0.0
stl_algobase.h;239;0.702999;0.702999;0.0;0.0
memcmp-avx2-movbe.S;167;0.618998;0.618998;0.0;0.0
sql_class.h;3514;0.560002;0.560002;0.0;0.0
cancellation.c;38;0.540978;0.540978;0.0;0.0
memcmp-avx2-movbe.S;417;0.540007;0.540007;0.0;0.0
pthread_mutex_lock.c;137;0.530000;0.530000;0.0;0.0
buf0buf.h;1774;0.491010;0.491010;0.0;0.0
pthread_mutex_lock.c;136;0.489999;0.489999;0.0;0.0
pthread_mutex_lock.c;160;0.478986;0.478986;0.0;0.0
pthread_mutex_unlock.c;359;0.459991;0.459991;0.0;0.0
stl_algobase.h;239;0.458996;0.458996;0.0;0.0
srw_lock.h;295;0.450032;0.450032;0.0;0.0
page0cur.cc;580;0.439995;0.439995;0.0;0.0
btr0cur.cc;1269;0.432002;0.432002;0.0;0.0
malloc.c;3790;0.397000;0.397000;0.0;0.0
page0page.h;622;0.388994;0.388994;0.0;0.0
page0cur.cc;340;0.372004;0.372004;0.0;0.0
string_fortified.h;29;0.330999;0.330999;0.0;0.0
rem0cmp.cc;329;0.317998;0.317998;0.0;0.0
futex-internal.h;126;0.310999;0.310999;0.0;0.0
page0cur.cc;877;0.310000;0.310000;0.0;0.0
page0cur.cc;585;0.300002;0.300002;0.0;0.0
lowlevellock.c;65;0.300000;0.300000;0.0;0.0
rem0rec.inl;221;0.291997;0.291997;0.0;0.0
srw_lock.h;251;0.281996;0.281996;0.0;0.0
memmove-vec-unaligned-erms.S;392;0.279001;0.279001;0.0;0.0
srw_lock.cc;435;0.267994;0.267994;0.0;0.0
page0cur.cc;672;0.260002;0.260002;0.0;0.0
my_alloc.c;271;0.259999;0.259999;0.0;0.0
malloc.c;4400;0.250995;0.250995;0.0;0.0
ha_innodb.cc;2653;0.250004;0.250004;0.0;0.0
buf0buf.h;1778;0.247995;0.247995;0.0;0.0
rem0rec.cc;827;0.241003;0.241003;0.0;0.0
string_fortified.h;59;0.239991;0.239991;0.0;0.0
item.cc;3768;0.231999;0.231999;0.0;0.0
page0page.h;667;0.228997;0.228997;0.0;0.0
small_vector.h;120;0.227998;0.227998;0.0;0.0
buf0flu.cc;2409;0.222003;0.222003;0.0;0.0
ut0byte.h;92;0.221000;0.221000;0.0;0.0
pthread_cond_signal.c;92;0.220000;0.220000;0.0;0.0
rem0cmp.cc;323;0.220000;0.220000;0.0;0.0
mysql_stage.h;112;0.219995;0.219995;0.0;0.0
rem0rec.cc;898;0.210001;0.210001;0.0;0.0
malloc.c;3038;0.210001;0.210001;0.0;0.0
my_alloc.c;360;0.209999;0.209999;0.0;0.0
pthread_mutex_lock.c;71;0.209995;0.209995;0.0;0.0
ctype-bin.c;87;0.199998;0.199998;0.0;0.0
srw_lock.h;251;0.199996;0.199996;0.0;0.0
my_alloc.c;356;0.199001;0.199001;0.0;0.0
ha_innodb.cc;2708;0.197997;0.197997;0.0;0.0
buf0buf.cc;2700;0.191001;0.191001;0.0;0.0
pthread_mutex_unlock.c;357;0.190998;0.190998;0.0;0.0
clock_gettime.c;40;0.190001;0.190001;0.0;0.0
mysql_thread.h;775;0.190000;0.190000;0.0;0.0
clock_gettime.c;30;0.189999;0.189999;0.0;0.0
page0cur.cc;533;0.189998;0.189998;0.0;0.0
lf_hash.cc;128;0.189994;0.189994;0.0;0.0
mtr0mtr.cc;587;0.189001;0.189001;0.0;0.0
memmove-vec-unaligned-erms.S;334;0.180994;0.180994;0.0;0.0
page0cur.cc;338;0.180002;0.180002;0.0;0.0
