Source File;Source Line;CPU Time;CPU Time:Effective Time;CPU Time:Spin Time;CPU Time:Overhead Time
[Unknown source file];[Unknown];44.319237;44.319237;0.0;0.0
syscall_cancel.S;56;22.695070;22.695070;0.0;0.0
syscall.S;38;7.953484;7.953484;0.0;0.0
page0cur.cc;103;5.128969;5.128969;0.0;0.0
page0cur.cc;85;2.668994;2.668994;0.0;0.0
smmintrin.h;843;1.237101;1.237101;0.0;0.0
my_byteorder.h;92;1.110986;1.110986;0.0;0.0
my_byteorder.h;56;1.029988;1.029988;0.0;0.0
srw_lock.h;332;0.893005;0.893005;0.0;0.0
pthread_mutex_lock.c;137;0.850000;0.850000;0.0;0.0
atomic_base.h;641;0.741010;0.741010;0.0;0.0
stl_algobase.h;239;0.703997;0.703997;0.0;0.0
pthread_mutex_lock.c;160;0.637978;0.637978;0.0;0.0
page0cur.cc;231;0.596976;0.596976;0.0;0.0
memcmp-avx2-movbe.S;416;0.572995;0.572995;0.0;0.0
sql_class.h;3514;0.547995;0.547995;0.0;0.0
pthread_mutex_lock.c;136;0.542002;0.542002;0.0;0.0
cancellation.c;38;0.510996;0.510996;0.0;0.0
pthread_mutex_unlock.c;359;0.480001;0.480001;0.0;0.0
srw_lock.h;295;0.450997;0.450997;0.0;0.0
ctype-utf8.h;149;0.448996;0.448996;0.0;0.0
lowlevellock.c;65;0.430000;0.430000;0.0;0.0
btr0cur.cc;1269;0.427004;0.427004;0.0;0.0
memcmp-avx2-movbe.S;167;0.418992;0.418992;0.0;0.0
string_fortified.h;29;0.409997;0.409997;0.0;0.0
my_alloc.c;271;0.379999;0.379999;0.0;0.0
memcmp-avx2-movbe.S;417;0.378998;0.378998;0.0;0.0
futex-internal.h;126;0.370003;0.370003;0.0;0.0
stl_algobase.h;239;0.360000;0.360000;0.0;0.0
string_fortified.h;59;0.348996;0.348996;0.0;0.0
row0mysql.cc;494;0.328991;0.328991;0.0;0.0
my_alloc.c;356;0.317994;0.317994;0.0;0.0
ctype-utf8.c;3015;0.309996;0.309996;0.0;0.0
rem0cmp.cc;329;0.300999;0.300999;0.0;0.0
item.cc;3768;0.289994;0.289994;0.0;0.0
page0cur.cc;580;0.270976;0.270976;0.0;0.0
rem0rec.cc;827;0.270003;0.270003;0.0;0.0
memmove-vec-unaligned-erms.S;392;0.269996;0.269996;0.0;0.0
buf0buf.h;1774;0.261000;0.261000;0.0;0.0
my_alloc.c;360;0.260001;0.260001;0.0;0.0
mysql_thread.h;775;0.260000;0.260000;0.0;0.0
mysql_stage.h;112;0.259998;0.259998;0.0;0.0
page0page.h;622;0.259997;0.259997;0.0;0.0
pthread_cond_signal.c;92;0.250000;0.250000;0.0;0.0
sql_select.cc;35016;0.230997;0.230997;0.0;0.0
memset-vec-unaligned-erms.S;326;0.230004;0.230004;0.0;0.0
syscall.S;42;0.210000;0.210000;0.0;0.0
buf0buf.h;1778;0.209997;0.209997;0.0;0.0
memmove-vec-unaligned-erms.S;378;0.201001;0.201001;0.0;0.0
pthread_mutex_lock.c;71;0.200997;0.200997;0.0;0.0
page0page.h;667;0.199997;0.199997;0.0;0.0
srw_lock.h;251;0.198013;0.198013;0.0;0.0
small_vector.h;37;0.191000;0.191000;0.0;0.0
sql_list.h;440;0.190996;0.190996;0.0;0.0
memmove-vec-unaligned-erms.S;377;0.190014;0.190014;0.0;0.0
hasher-mysql5x.c;23;0.190000;0.190000;0.0;0.0
pthread_mutex_lock.c;132;0.190000;0.190000;0.0;0.0
rem0cmp.cc;323;0.190000;0.190000;0.0;0.0
mtr0mtr.cc;587;0.189999;0.189999;0.0;0.0
srw_lock.h;251;0.189999;0.189999;0.0;0.0
viosocket.c;178;0.183996;0.183996;0.0;0.0
ctype.c;888;0.182998;0.182998;0.0;0.0
rem0cmp.cc;207;0.180999;0.180999;0.0;0.0
page0cur.cc;672;0.180003;0.180003;0.0;0.0
sql_type.h;5474;0.180001;0.180001;0.0;0.0
strings_def.h;222;0.179000;0.179000;0.0;0.0
sql_list.h;154;0.178997;0.178997;0.0;0.0
page0cur.cc;340;0.178001;0.178001;0.0;0.0
srw_lock.cc;435;0.177998;0.177998;0.0;0.0
strcoll.inl;229;0.171003;0.171003;0.0;0.0
sql_statistics.cc;3259;0.170001;0.170001;0.0;0.0
item.cc;6612;0.170000;0.170000;0.0;0.0
pthread_mutex_lock.c;128;0.170000;0.170000;0.0;0.0
srw_lock.h;162;0.170000;0.170000;0.0;0.0
small_vector.h;120;0.169999;0.169999;0.0;0.0
mysql_thread.h;745;0.169999;0.169999;0.0;0.0
ha_innodb.cc;16257;0.169997;0.169997;0.0;0.0
page0cur.cc;585;0.168998;0.168998;0.0;0.0
malloc.c;3790;0.168997;0.168997;0.0;0.0
btr0sea.cc;1698;0.167998;0.167998;0.0;0.0
sql_list.h;426;0.161998;0.161998;0.0;0.0
item_cmpfunc.cc;438;0.160998;0.160998;0.0;0.0
item_func.cc;418;0.160003;0.160003;0.0;0.0
buf0buf.h;1465;0.160002;0.160002;0.0;0.0
pthread_mutex_unlock.c;357;0.160002;0.160002;0.0;0.0
page0cur.cc;877;0.160000;0.160000;0.0;0.0
my_alloc.c;361;0.160000;0.160000;0.0;0.0
handler.cc;8044;0.159999;0.159999;0.0;0.0
sql_prepare.cc;354;0.159998;0.159998;0.0;0.0
buf0buf.inl;40;0.159998;0.159998;0.0;0.0
ha_innodb.cc;16611;0.159998;0.159998;0.0;0.0
fdatasync.c;28;0.154424;0.154424;0.0;0.0
ha_innodb.cc;2708;0.151998;0.151998;0.0;0.0
viosocket.c;255;0.150995;0.150995;0.0;0.0
ctype.c;900;0.149997;0.149997;0.0;0.0
sql_prepare.cc;3648;0.149996;0.149996;0.0;0.0
memmove-vec-unaligned-erms.S;376;0.149996;0.149996;0.0;0.0
clock_gettime.c;40;0.149996;0.149996;0.0;0.0
sql_class.cc;6161;0.149994;0.149994;0.0;0.0
opt_subselect.cc;6707;0.149000;0.149000;0.0;0.0
sql_parse.cc;2381;0.141002;0.141002;0.0;0.0
trx0purge.cc;1009;0.140007;0.140007;0.0;0.0
rem0cmp.cc;322;0.140001;0.140001;0.0;0.0
rem0rec.cc;898;0.140000;0.140000;0.0;0.0
ut0byte.h;92;0.140000;0.140000;0.0;0.0
rem0rec.h;605;0.140000;0.140000;0.0;0.0
mtr0log.h;425;0.139996;0.139996;0.0;0.0
malloc.c;3038;0.139996;0.139996;0.0;0.0
buf0buf.cc;2700;0.139007;0.139007;0.0;0.0
table.cc;10083;0.132000;0.132000;0.0;0.0
sql_list.h;428;0.130999;0.130999;0.0;0.0
sql_parse.cc;2491;0.130999;0.130999;0.0;0.0
mysql_thread.h;752;0.130996;0.130996;0.0;0.0
mtr0log.h;138;0.130004;0.130004;0.0;0.0
ha_innodb.cc;7369;0.130003;0.130003;0.0;0.0
item.cc;4932;0.130001;0.130001;0.0;0.0
malloc.c;3259;0.130000;0.130000;0.0;0.0
psi_noop.c;170;0.130000;0.130000;0.0;0.0
pthread_mutex_lock.c;126;0.130000;0.130000;0.0;0.0
sql_profile.h;322;0.130000;0.130000;0.0;0.0
sql_select.cc;13462;0.129999;0.129999;0.0;0.0
pthread_mutex_unlock.c;43;0.129997;0.129997;0.0;0.0
sql_prepare.cc;617;0.128994;0.128994;0.0;0.0
field.h;2887;0.128994;0.128994;0.0;0.0
net_serv.cc;898;0.127997;0.127997;0.0;0.0
ctype-bin.c;87;0.127996;0.127996;0.0;0.0
my_alloc.c;690;0.121004;0.121004;0.0;0.0
sql_parse.cc;1688;0.121001;0.121001;0.0;0.0
page0cur.cc;533;0.121001;0.121001;0.0;0.0
item.cc;3769;0.121000;0.121000;0.0;0.0
field.h;2704;0.120999;0.120999;0.0;0.0
malloc.c;3034;0.120998;0.120998;0.0;0.0
atomic_base.h;631;0.120002;0.120002;0.0;0.0
my_thr_init.c;371;0.120002;0.120002;0.0;0.0
opt_subselect.cc;5570;0.120000;0.120000;0.0;0.0
malloc.c;3319;0.120000;0.120000;0.0;0.0
pthread_mutex_unlock.c;358;0.120000;0.120000;0.0;0.0
